Model,ROUGE-1,ROUGE-2,ROUGE-L,Average
TF-IDF,0.15955320305972776,0.14853905258426814,0.15955320305972776,0.1558818195679079
TextRank,0.15955320305972776,0.14853905258426814,0.15955320305972776,0.1558818195679079
Seq2Seq,0.12450069696493891,0.05731004296521746,0.1129407026529235,0.09825048086102661
